项目ID,统一标题,英文抬头或项目名,中文名称,中文名称说明
NPI004,PT Nicole Metal Industry (NMI) 妮可镍业,PT Nicole Metal Industry (NMI),妮可镍业,已有中文名称或项目说明
NPI005,PT Angel Nickel Industry (ANI) 安琪镍业,PT Angel Nickel Industry (ANI),安琪镍业,已有中文名称或项目说明
NPI006,PT Langit Metal Industry 蓝天金属工业,PT Langit Metal Industry,蓝天金属工业,已有中文名称或项目说明
NPI007,PT Yashi Indonesia Investment 雅石投资,PT Yashi Indonesia Investment,雅石投资,已有中文名称或项目说明
NPI008,PT Youshan Nickel Indonesia 友山镍业,PT Youshan Nickel Indonesia,友山镍业,已有中文名称或项目说明
NPI009,PT Weda Bay Nickel (WBN) 纬达贝镍业,PT Weda Bay Nickel (WBN),纬达贝镍业,已有中文名称或项目说明
NPI010,PT Infei Metal Industry 英菲金属工业,PT Infei Metal Industry,英菲金属工业,已有中文名称或项目说明
NPI011,PT Cosan Metal Industry (COSAN) 科赞金属工业,PT Cosan Metal Industry (COSAN),科赞金属工业,已有中文名称或项目说明
NPI012,PT Debonair Nickel Indonesia 德邦镍业,PT Debonair Nickel Indonesia,德邦镍业,已有中文名称或项目说明
NPI013,PT Andalan Metal Industry (AMI) 安达兰金属工业,PT Andalan Metal Industry (AMI),安达兰金属工业,已有中文名称或项目说明
NPI014,PT Jiu Long Metal Industry 九龙金属工业,PT Jiu Long Metal Industry,九龙金属工业,已有中文名称或项目说明
NPI015,PT Perkasa Metal Industry 佩尔卡萨金属工业,PT Perkasa Metal Industry,佩尔卡萨金属工业,中文阅读译名
NPI016,PT Kao Rahai Smelters 金川考拉海冶炼,PT Kao Rahai Smelters,金川考拉海冶炼,已有中文名称或项目说明
NPI017,PT Lipe Metal Industry 利佩金属工业,PT Lipe Metal Industry,利佩金属工业,中文阅读译名
NPI018,PT Maluku Utara Metal Industry 北马鲁古金属工业,PT Maluku Utara Metal Industry,北马鲁古金属工业,中文阅读译名
NPI019,PT Lin Victor Metal Industry 林维克金属工业,PT Lin Victor Metal Industry,林维克金属工业,已有中文名称或项目说明
NPI020,PT Sunny Metal Industry 旭日金属工业,PT Sunny Metal Industry,旭日金属工业,已有中文名称或项目说明
NPI021,PT Westrong Metal Industry 纬创金属工业,PT Westrong Metal Industry,纬创金属工业,已有中文名称或项目说明
NPI022,PT Huake Nickel Indonesia 华科镍业,PT Huake Nickel Indonesia,华科镍业,已有中文名称或项目说明
NPI023,PT Jade Bay Metal Industry 翡翠湾金属工业,PT Jade Bay Metal Industry,翡翠湾金属工业,已有中文名称或项目说明
NPI024,PT Lancon Metal Industry 澜凯金属工业,PT Lancon Metal Industry,澜凯金属工业,已有中文名称或项目说明
NPI026,PT Indonesia Guang Ching Nickel and Stainless Steel Industry (GCNS) 印尼广青镍业,PT Indonesia Guang Ching Nickel and Stainless Steel Industry (GCNS),印尼广青镍业,已有中文名称或项目说明
